Nuclease free H20,10X NEBuffer r3.1 Reaction Buffer,sgRNA species,Diluted sgRNA volume (ul),sgRNA Relative concentration,EnGen Spy Cas9 Nickase (ul),Template Volume (ul),Cas9 Titration (X),sgRNA_concentration,Cas9_concentration,Lane
19.74742343,3,pFC9VR13Cas9-4,5,1,1.6,0.652576572,1,30,30,1
19.74742343,3,pFC9VR13Cas9-4,5,1,1.6,0.652576572,2,30,60,2
19.74742343,3,pFC9VR13Cas9-4,5,1,1.6,0.652576572,5,30,150,3
19.74742343,3,pFC9VR13Cas9-4,5,1,1.6,0.652576572,10,30,300,4
19.74742343,3,pFC9VR13Cas9-4,5,2,1.6,0.652576572,1,60,30,5
19.74742343,3,pFC9VR13Cas9-4,5,2,1.6,0.652576572,2,60,60,6
19.74742343,3,pFC9VR13Cas9-4,5,2,1.6,0.652576572,5,60,150,7
19.74742343,3,pFC9VR13Cas9-4,5,2,1.6,0.652576572,10,60,300,8
19.74742343,3,pFC9VR13Cas9-4,5,5,1.6,0.652576572,1,150,30,9
19.74742343,3,pFC9VR13Cas9-4,5,5,1.6,0.652576572,2,150,60,10
19.74742343,3,pFC9VR13Cas9-4,5,5,1.6,0.652576572,5,150,150,11
19.74742343,3,pFC9VR13Cas9-4,5,5,1.6,0.652576572,10,150,300,12
19.74742343,3,pFC9VR13Cas9-4,5,10,1.6,0.652576572,1,300,30,13
19.74742343,3,pFC9VR13Cas9-4,5,10,1.6,0.652576572,2,300,60,14
19.74742343,3,pFC9VR13Cas9-4,5,10,1.6,0.652576572,5,300,150,15
19.74742343,3,pFC9VR13Cas9-4,5,10,1.6,0.652576572,10,300,300,16
