"2022-01-14_15h23m41s-t7-init-series-concentration-measure-3",,,,,,,,,,,
"Lane","Band No.","Band Label","Mol. Wt. (KDa)","Relative Front","Adj. Volume (Int)","Volume (Int)","Abs. Quant.","Rel. Quant.","Band %","Lane %"
"1","1","","N/A","0.256039","1923380","2320296","N/A","4.029776","27.886777","17.321518"
"1","2","","N/A","0.309179","4973724","5576272","N/A","10.420715","72.113223","44.792215"
"2","1","","N/A","0.231884","748612","1086572","N/A","1.568457","68.892365","36.778806"
"2","2","","N/A","0.305958","338028","630496","N/A","0.708221","31.107635","16.607089"
"3","1","","N/A","0.249597","3742312","4352476","N/A","7.840718","55.646670","39.294843"
"3","2","","N/A","0.307568","2982820","3459704","N/A","6.249466","44.353330","31.320062"
"4","1","","N/A","0.231884","883796","1252016","N/A","1.851688","41.631699","31.251052"
"4","2","","N/A","0.305958","1239096","1640092","N/A","2.596096","58.368301","43.814470"
"5","1","","N/A","0.239936","4154120","4863224","N/A","8.703519","77.154296","58.782210"
"5","2","","N/A","0.299517","1230052","1592288","N/A","2.577148","22.845704","17.405654"
"6","1","","N/A","0.227053","1278808","1708636","N/A","2.679299","47.173030","36.574029"
"6","2","","N/A","0.299517","1432080","1860752","N/A","3.000427","52.826970","40.957623"
"7","1","","N/A","0.235105","1507832","2040748","N/A","3.159139","33.680149","21.109049"
"7","2","","N/A","0.301127","2969084","3625488","N/A","6.220687","66.319851","41.565996"
"8","1","","N/A","0.228663","705500","1133968","N/A","1.478131","19.421929","11.255031"
"8","2","","N/A","0.297907","2926992","3558032","N/A","6.132498","80.578071","46.695089"
"9","1","","N/A","0.239936","1726724","2149684","N/A","3.617752","28.521206","15.163802"
"9","2","","N/A","0.297907","4327452","4915652","N/A","9.066676","71.478794","38.002962"
"10","1","","N/A","0.223833","1050328","1456832","N/A","2.200598","39.522031","28.919137"
"10","2","","N/A","0.294686","1607248","2030548","N/A","3.367431","60.477969","44.253056"
"11","1","","N/A","0.227053","1683340","2146488","N/A","3.526856","50.363152","39.558631"
"11","2","","N/A","0.294686","1659064","2071416","N/A","3.475994","49.636848","38.988143"
"12","1","","N/A","0.219002","1670216","2055980","N/A","3.499359","84.053111","58.450336"
"12","2","","N/A","0.286634","316880","543048","N/A","0.663912","15.946889","11.089429"
"13","1","","N/A","0.123994","210664","382976","N/A","0.441373","6.851405","5.878781"
"13","2","","N/A","0.138486","180200","310080","N/A","0.377547","5.860628","5.028654"
"13","3","","N/A","0.162641","477292","712912","N/A","1.000000","15.522923","13.319291"
"13","4","","N/A","0.178744","143548","296412","N/A","0.300755","4.668598","4.005845"
"13","5","","N/A","0.204509","179860","384744","N/A","0.376834","5.849570","5.019166"
"13","6","","N/A","0.219002","169728","300492","N/A","0.355606","5.520048","4.736423"
"13","7","","N/A","0.238325","484976","719508","N/A","1.016099","15.772829","13.533720"
"13","8","","N/A","0.260870","153204","344488","N/A","0.320986","4.982639","4.275305"
"13","9","","N/A","0.291465","156808","375088","N/A","0.328537","5.099852","4.375878"
"13","10","","N/A","0.328502","171904","390660","N/A","0.360165","5.590818","4.797146"
"13","11","","N/A","0.380032","447440","734060","N/A","0.937455","14.552049","12.486242"
"13","12","","N/A","0.412238","149532","363596","N/A","0.313292","4.863215","4.172834"
"13","13","","N/A","0.450886","149600","383996","N/A","0.313435","4.865427","4.174731"
