Tube full name	Tube date	nanograms
pFC9-T7-init-VR1-midi-D	12/18/21	40.886663999999996
pFC9-T7-init-VR2-midi-D	12/18/21	127.29788400000001
pFC9-T7-init-VR3-midi-D	12/14/21	135.733584
pFC9-T7-init-VR4-midi-D	12/21/21	255.807468
pFC9-T7-init-VR5-midi-D	12/14/21	50.113952
pFC9-T7-init-VR6-midi-D	12/14/21	125.991516
pFC9-T7-init-VR7-midi-D	12/21/21	178.63568800000002
pFC9-T7-init-VR8-midi-D	12/21/21	197.337952
pFC9-T7-init-VR9-midi-D	12/14/21	84.075264
pFC9-T7-init-VR10-midi-D	12/14/21	43.093904
pFC9-T7-init-VR11-midi-D	12/14/21	57.284528
pFC9-T7-init-VR12-midi-D	12/14/21	120.685796
pFC9-T7-init-VR13-midi-D	12/14/21	91.114744
pFC9-T7-init-VR14-midi-D	12/23/21	135.38392
pFC9-T7-init-VR14-3-midi-D	12/23/21	172.40574400000003
pFC9-T7-init-VR14-2-midi-D	12/23/21	228.817484
pFC9-T7-init-VR14-4-midi-D	12/23/21	141.92878
pFC9-T7-init-VR15-midi-D	12/21/21	159.393248
pFC9-T7-init-VR16-midi-D	12/21/21	135.422504
pFC9-T7-init-VR17-midi-D	12/12/21	65.152808
pFC9-T7-init-VR17-2-midi-D	12/21/21	64.474648
pFC9-T7-init-VR18-midi-D		38.319708
pFC9-T7-init-VR18-2-midi-D	12/21/21	127.196664
pFC9-T7-init-VR19-midi-D	12/5/21	59.78265999999999
pFC9-T7-init-VR19-midi-D	12/12/21	73.107804
pFC9-T7-init-VR20-midi-D	12/12/21	50.046388
pFC9-T7-init-VR21-midi-D	12/12/12	117.786284
pFC9-T7-init-VR22-2-midi-D	12/21/21	98.68143599999999
pFC9-T7-init-VR22-1-midi-D	12/12/21	404.613748
pFC9-T7-init-VR22-midi-D	12/23/21	63.746984
pFC9-T7-init-VR22-2-midi-D	12/23/21	394.525152
pFC9-T7-init-VR23-midi-D	12/12/21	124.53795200000002
pFC9-T7-init-VR24-midi-D	12/21/21	315.858676
pFC9-T7-init-VR25-midi-D	12/12/21	159.032328
pFC9-T7-init-VR26-midi-D	12/12/21	262.635128
pFC9-T7-init-VR27-midi-D	12/12/21	213.09761200000003
pFC9-T7-init-VR28-midi-D	12/12/21	355.16398399999997
pFC9-T7-init-VR29-midi-D	12/12/21	155.904812
pFC9-T7-init-VR30-midi-D	12/12/21	196.0798
pFC9-T7-init-VR31-midi-D	12/21/21	116.571588
