"2022-01-25_13h32m31s-Cas9-nickase-titration-enzyme-sgRNA",,,,,,,,,,,
"Lane","Band No.","Band Label","Mol. Wt. (KDa)","Relative Front","Adj. Volume (Int)","Volume (Int)","Abs. Quant.","Rel. Quant.","Band %","Lane %"
"1","1","","N/A","0.314286","1105104","1825602","N/A","0.840088","34.942475","34.198838"
"1","2","","N/A","0.742857","2057534","3140512","N/A","1.564115","65.057525","63.672987"
"2","1","","N/A","0.285714","728962","1321212","N/A","0.554149","34.045159","33.233370"
"2","2","","N/A","0.714286","1412200","2349634","N/A","1.073539","65.954841","64.382183"
"3","1","","N/A","0.257143","280554","784116","N/A","0.213274","14.763265","14.322953"
"3","2","","N/A","0.695238","1619798","2579864","N/A","1.231353","85.236735","82.694566"
"4","1","","N/A","0.238095","129444","580474","N/A","0.098402","6.260986","6.101078"
"4","2","","N/A","0.685714","1938026","2936364","N/A","1.473266","93.739014","91.344882"
"5","1","","N/A","0.228571","1098020","1754762","N/A","0.834703","69.250631","68.034773"
"5","2","","N/A","0.666667","487554","1158372","N/A","0.370633","30.749369","30.209491"
"6","1","","N/A","0.219048","1161730","1893130","N/A","0.883135","59.827541","58.924405"
"6","2","","N/A","0.657143","780068","1553420","N/A","0.592999","40.172459","39.566029"
"7","1","","N/A","0.209524","945300","1599006","N/A","0.718607","41.405573","40.718065"
"7","2","","N/A","0.647619","1337726","2157216","N/A","1.016925","58.594427","57.621510"
"8","1","","N/A","0.190476","501630","1090154","N/A","0.381334","23.969667","23.382722"
"8","2","","N/A","0.647619","1591140","2397796","N/A","1.209567","76.030333","74.168579"
"9","1","","N/A","0.190476","1597994","2458102","N/A","1.214778","90.423760","89.482768"
"9","2","","N/A","0.619048","169234","700396","N/A","0.128650","9.576240","9.476585"
"10","1","","N/A","0.180952","1705082","2494810","N/A","1.296185","87.181598","85.080451"
"10","2","","N/A","0.619048","250700","809784","N/A","0.190579","12.818402","12.509468"
"11","1","","N/A","0.171429","1405576","2210254","N/A","1.068504","84.995828","84.025849"
"11","2","","N/A","0.609524","248124","805782","N/A","0.188621","15.004172","14.832944"
"12","1","","N/A","0.171429","1339934","2119864","N/A","1.018603","70.095774","69.470546"
"12","2","","N/A","0.619048","571642","1226360","N/A","0.434556","29.904226","29.637491"
"13","1","","N/A","0.180952","1616946","2236704","N/A","1.229185","95.226614","87.523032"
"13","2","","N/A","0.609524","81052","379454","N/A","0.061615","4.773386","4.387232"
"14","1","","N/A","0.180952","1378758","1925008","N/A","1.048117","93.141703","86.035364"
"14","2","","N/A","0.609524","101522","429272","N/A","0.077176","6.858297","6.335036"
"15","1","","N/A","0.190476","1359162","1985544","N/A","1.033220","91.949337","90.341222"
"15","2","","N/A","0.628571","119002","503470","N/A","0.090464","8.050663","7.909864"
"16","1","","N/A","0.209524","1527936","2220558","N/A","1.161520","87.560301","86.653449"
"16","2","","N/A","0.647619","217074","710332","N/A","0.165017","12.439699","12.310863"
"17","1","","N/A","0.695238","1084864","1685394","N/A","0.824702","100.000000","93.026191"
"18","1","","N/A","0.714286","1315462","1840046","N/A","1.000000","100.000000","89.868326"
